"File","SUM_LOC+","MAX_LOC+","SUM_LOC-","MAX_LOC-","MAX_SET","AVG_SET","NO_REV","SUM_CHRN","MAX_CHRN","Age","CountOfDeveloper","REF","BUG"
"proposal/anteater/bootstrap/Bootstrap.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/anteater/bootstrap/Bootstrap2.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/anteater/source/coretasks/buildtarget/org/apache/ant/buildtarget/BuildTargetTask.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/anteater/source/coretasks/echo/org/apache/ant/echo/EchoTask.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/anteater/source/main/org/apache/ant/AbstractTask.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/anteater/source/main/org/apache/ant/Ant.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/anteater/source/main/org/apache/ant/AntException.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/anteater/source/main/org/apache/ant/AntFrontEnd.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/anteater/source/main/org/apache/ant/cli/CLIFrontEnd.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/anteater/source/main/org/apache/ant/cli/Main.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/anteater/source/main/org/apache/ant/Project.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/anteater/source/main/org/apache/ant/ProjectBuilder.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/anteater/source/main/org/apache/ant/Target.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/anteater/source/main/org/apache/ant/Task.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/anteater/source/main/org/apache/ant/TaskClassLoader.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/anteater/source/main/org/apache/ant/TaskManager.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/antfarm/core/ant.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/antfarm/core/org/apache/tools/ant/AntException.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/antfarm/core/org/apache/tools/ant/AntSecurityManager.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/antfarm/core/org/apache/tools/ant/BuildEvent.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/antfarm/core/org/apache/tools/ant/BuildException.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/antfarm/core/org/apache/tools/ant/BuildListener.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/antfarm/core/org/apache/tools/ant/cmdline/DefaultLogger.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/antfarm/core/org/apache/tools/ant/cmdline/Main.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/antfarm/core/org/apache/tools/ant/ExitException.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/antfarm/core/org/apache/tools/ant/Import.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/antfarm/core/org/apache/tools/ant/Importer.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/antfarm/core/org/apache/tools/ant/Load.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/antfarm/core/org/apache/tools/ant/Project.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/antfarm/core/org/apache/tools/ant/Target.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/antfarm/core/org/apache/tools/ant/Task.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/antfarm/core/org/apache/tools/ant/TaskData.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/antfarm/core/org/apache/tools/ant/TaskProxy.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/antfarm/core/org/apache/tools/ant/Workspace.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/antfarm/tasks/org/apache/tools/ant/tasks/Copy.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/antfarm/tasks/org/apache/tools/ant/tasks/Echo.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/antfarm/tasks/org/apache/tools/ant/tasks/Fileset.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
"proposal/antfarm/tasks/org/apache/tools/ant/tasks/Jar.java",0.00,0,0.00,0,3173,3173.00,1,0.00,0,4.57,1,"FALSE","FALSE"
