Date,Price
2019-08-01,965.605575
2019-08-03,912.2937
2019-08-04,964.1785
2019-08-05,945.8559666666666
2019-08-07,933.8599666666665
2019-08-08,909.2554
2019-08-10,915.2669
2019-08-11,941.7557666666667
2019-08-13,930.41415
2019-08-14,971.98275
2019-08-15,949.1052999999999
2019-08-16,955.029325
2019-08-17,957.9652
2019-08-18,987.588
2019-08-19,946.8978
2019-08-21,980.997
2019-08-22,930.9987
2019-08-24,912.2750666666667
2019-08-25,976.5502
2019-08-26,964.711325
2019-08-27,974.2408
2019-08-28,952.4398799999999
2019-08-29,946.2539
